Neighborhoods,Median Household Income
Arverne,39432.0
Astoria,54882.0
Auburndale,70772.0
Baisley Park,59357.0
Bath Beach,55193.0
Battery Park City,125434.0
Bay Ridge,57980.0
Bay Terrace,71784.0
Bayside,79120.0
Bayside Hills,79120.0
Bedford,37343.0
Bedford Park,29549.0
Belle Harbor,74718.0
Bensonhurst East,45108.0
Bensonhurst West,46137.0
Bergen Beach,72158.0
Boerum Hill,84945.0
Borough Park,35754.0
Breezy Point,74718.0
Briarwood,58564.0
Brighton Beach,30872.0
Broad Channel,74718.0
Bronx River,29382.0
Brooklyn Heights,105398.0
Bushwick North,42296.0
Bushwick South,37285.0
Canarsie,60766.0
Carnegie Hill,155213.0
Carroll Gardens,85496.0
Castle Hill,36129.0
Central Harlem North,34413.0
Central Harlem South,48366.0
Chelsea,101369.0
Chinatown,35908.0
City Line,40432.0
Civic Center,118931.0
Clason Point,36129.0
Clearview,71784.0
Clinton,73591.0
Clinton Hill,66282.0
Cobble Hill,105398.0
College Point,58420.0
Columbia Street,85496.0
Concourse Village,27883.0
Cooper Village,95022.0
Corona,44026.0
Crown Heights North,37104.0
Crown Heights South,41745.0
Cypress Hills,40432.0
DUMBO,84945.0
Douglas Manor,83749.0
Douglaston,83749.0
Downtown Brooklyn,84945.0
Dyker Heights,54752.0
East Concourse,27883.0
East Flatbush,50889.0
East Flushing,55971.0
East Harlem North,26099.0
East Harlem South,35857.0
East Midtown,113998.0
East New York,32973.0
East New York (Pennsylvania Ave),29527.0
East Village,72665.0
East Williamsburg,50777.0
Edgemere,39432.0
Edgewater Park,67549.0
Elmhurst,51872.0
Erasmus,40681.0
Farragut,50889.0
Fieldston,78895.0
Flat Iron,101369.0
Flatbush,45332.0
Flatlands,64519.0
Flushing,39840.0
Flushing Heights,48386.0
Fordham North,29549.0
Forest Hills,67881.0
Fort Greene,61990.0
Fresh Meadows,69525.0
Ft. Totten,71784.0
Georgetown,72158.0
Gerritsen Beach,51314.0
Glendale,64178.0
Gowanus,101784.0
Gramercy,100900.0
Gravesend,35550.0
Great Kills,88868.0
Greenpoint,67928.0
Hamilton Heights,39019.0
Hammels,39432.0
Harding Park,36129.0
Highbridge,23334.0
Hillcrest,48386.0
Homecrest,47882.0
Hudson Yards,101369.0
Hunters Point,61736.0
Hunts Point,22572.0
Inwood,39003.0
Jackson Heights,48869.0
Jamaica,39763.0
Jamaica Hills,58564.0
Kensington,45483.0
Kew Gardens,65035.0
Kew Gardens Hills,61348.0
Kingsbridge,67534.0
Kips Bay,97458.0
Lenox Hill,98797.0
Lincoln Square,120337.0
Little Italy,118931.0
Little Neck,83749.0
Long Island City,28378.0
Lower East Side,31273.0
Lower Manhattan,125434.0
Madison,55840.0
Manhattan Beach,51314.0
Manhattanville,29182.0
Marble Hill,39003.0
Marine Park,72158.0
Maspeth,56285.0
Melrose South,22537.0
Middle Village,69763.0
Midland Beach,78100.0
Midtown,114491.0
Midtown South,114491.0
Midwood,43687.0
Mill Basin,72158.0
Morningside Heights,56371.0
Morris Heights,25073.0
Morris Park,44588.0
Mott Haven,20334.0
Mott Haven North,22537.0
Mount Hope,26195.0
Murray Hill,75077.0
New Brighton,48439.0
New Dorp,78100.0
North Corona,46568.0
North Riverdale,78895.0
North Side,61381.0
Norwood,35319.0
Ocean Hill,33125.0
Ocean Parkway,45483.0
Ocean Parkway South,50540.0
Old Astoria,46840.0
Ozone Park,65786.0
Park Slope,101784.0
Pelham Parkway,47806.0
Polo Grounds,34413.0
Pomonok,48386.0
Port Morris,20334.0
Port Richmond,61952.0
Prospect Heights,84323.0
Prospect Lefferts Gardens,42462.0
Queensboro Hill,53836.0
Queensbridge,28378.0
Ravenswood,28378.0
Red Hook,85496.0
Rego Park,50871.0
Remsen Village,44027.0
Richmond Hill,58473.0
Ridgewood,49776.0
Riverdale,78895.0
Rockaway Park,74718.0
Roosevelt Island,98797.0
Rosebank,56462.0
Rugby,44027.0
Schuylerville,67549.0
Sheepshead Bay,51314.0
SoHo,118931.0
Soundview,36129.0
South Ozone Park,57849.0
South Side,61381.0
Spuyten Duyvil,67534.0
St. George,48439.0
Stapleton,56462.0
Steinway,60618.0
Stuyvesant Heights,37082.0
Stuyvesant Town,95022.0
Sunnyside,61736.0
Sunset Park East,35636.0
Sunset Park West,44165.0
Throgs Neck,67549.0
TriBeCa,118931.0
Turtle Bay,113998.0
Union Square,101369.0
Unionport,45536.0
University Heights,25073.0
Upper East Side,155213.0
Upper West Side,92268.0
Utopia,69525.0
Van Cortlandt Village,40669.0
Van Nest,44588.0
Vinegar Hill,84945.0
Washington Heights North,50192.0
Washington Heights South,36518.0
West Brighton,38047.0
West Concourse,27637.0
West Farms,29382.0
West Maspeth,61736.0
West New Brighton,48439.0
West Village,112689.0
Westchester,45536.0
Westchester Square,44588.0
Whitestone,80546.0
Williamsburg,21502.0
Windsor Terrace,82297.0
Wingate,42462.0
Woodhaven,61804.0
Woodside,50952.0
Yorkville,98840.0
